registroDate1;registrotime1;registroFloat1;registroFloat2
08102017;03:20:00;1.651.476.625;1.247.019.875
08102017;03:25:00;1531453.5;1112743
08102017;03:30:00;1.533.796.875;1.115.955.375
08102017;03:35:00;1.539.010.375;1124491.5
08102017;03:40:00;1.517.392.625;1.110.354.375
08102017;03:45:00;1508409;1.125.615.125
08102017;03:50:00;1391789;1.054.614.875
08102017;03:55:00;1360913;10.382.493.125
08102017;04:00:00;1399078.25;10.272.529.375
08102017;04:05:00;1389100.25;10.381.298.125
08102017;04:10:00;1388170.5;1036687.75
08102017;04:15:00;1390927.75;10.435.266.875
08102017;04:20:00;1.395.055.125;10.464.378.125
08102017;04:25:00;1.367.458.125;1010292.75
08102017;04:30:00;1.362.326.125;10.194.089.375
08102017;04:35:00;1.381.414.125;1042241.75
08102017;04:40:00;1380974;1028248.75
08102017;04:45:00;1.378.110.125;10.264.394.375
08102017;04:50:00;1383591.5;10.274.736.875
08102017;04:55:00;1.378.670.875;10.262.261.875
08102017;05:00:00;1.363.728.625;10.053.593.125
08102017;05:05:00;1330300.75;9.748.728.125
08102017;05:10:00;1352368.75;1.004.822.875
08102017;05:15:00;1350348.25;1.005.387.625
08102017;05:20:00;1392435.25;10.419.264.375
08102017;05:25:00;1.399.831.625;10.472.806.875
08102017;05:30:00;1411413.5;1.058.436.125
08102017;05:35:00;1402626.75;1046822.5
08102017;05:40:00;1.419.661.125;1.052.321.625
08102017;05:45:00;1.389.483.125;1.035.031.375
08102017;05:50:00;1352183.25;9.827.295.625
08102017;05:55:00;1514657.75;1094202
08102017;06:00:00;1.533.284.625;1.094.817.625
08102017;06:05:00;1558465.25;1.127.659.875
08102017;06:10:00;1573124.25;1137785.5
08102017;06:15:00;1561019;1.130.655.875
08102017;06:20:00;1530882.5;1094752.75
08102017;06:25:00;1.552.062.125;1.115.767.875
08102017;06:30:00;1554619.5;1.119.586.125
08102017;06:35:00;1.543.572.625;1107890.5
08102017;06:40:00;1.536.532.375;1101396.5
08102017;06:45:00;1529012.75;1.096.050.125
08102017;06:50:00;1530042;1095451.5
08102017;06:55:00;1531436;1.095.616.875
08102017;07:00:00;1537737.75;1110892.25
08102017;07:05:00;1.542.935.875;1.109.876.875
08102017;07:10:00;1.782.602.625;1.263.154.875
08102017;07:15:00;1780674.75;1.261.174.625
08102017;07:20:00;1779498.5;1.251.174.125
08102017;07:25:00;1.785.073.125;1266502.75
08102017;07:30:00;1.776.295.375;1249429.25
08102017;07:35:00;1.731.729.125;1.223.855.375
08102017;07:40:00;1635250.75;1172200.25
08102017;07:45:00;1.596.564.125;1143992
08102017;07:50:00;1.509.567.125;1.082.118.875
08102017;07:55:00;1292374.5;9.590.450.625
08102017;08:00:00;1.499.321.375;1174082
08102017;08:05:00;1654406.75;1235971.5
08102017;08:10:00;1.949.816.625;1409485
08102017;08:15:00;1.941.802.125;1408979
08102017;08:20:00;1969214.75;1425232.5
08102017;08:25:00;2041120.25;1484194.5
08102017;08:30:00;1.918.368.875;1.397.739.125
08102017;08:35:00;1798750.75;1.304.500.875
08102017;08:40:00;1.816.881.375;1319917.25
08102017;08:45:00;1.804.994.625;1.308.076.125
08102017;08:50:00;1807792.75;1307471.5
08102017;08:55:00;1.806.555.875;1.300.236.375
08102017;09:00:00;1.819.331.625;1317975
08102017;09:05:00;1.886.708.875;1365285.75
08102017;09:10:00;1990497;1.429.570.875
08102017;09:15:00;1.945.191.125;1395232.75
08102017;09:20:00;1779464;1.278.205.125
08102017;09:25:00;1842505.5;1327792.75
08102017;09:30:00;1.851.585.875;1336551.5
08102017;09:35:00;1851054.75;1.322.888.375
08102017;09:40:00;2132946.75;1.515.365.375
08102017;09:45:00;2236462.5;1.606.214.125
08102017;09:50:00;2217595;1.598.624.125
08102017;09:55:00;2078934.25;1519852
08102017;10:00:00;2.093.236.625;1531147.5
08102017;10:05:00;2101711;1539237.75
08102017;10:10:00;2103445.25;1540752.25
08102017;10:15:00;2124594.25;1.558.919.375
08102017;10:20:00;2103323.25;1.544.723.375
08102017;10:25:00;2096553.25;1.540.587.625
08102017;10:30:00;1913187.25;1.405.016.375
08102017;10:35:00;1.583.658.375;1180618.25
08102017;10:40:00;1525700;1.138.643.125
08102017;10:45:00;1.443.835.375;1083199.75
08102017;10:50:00;1.433.765.125;1.071.381.875
08102017;10:55:00;1424154;1064217.25
08102017;11:00:00;1.393.655.375;10.349.950.625
08102017;11:05:00;1385843.5;1.038.285.875
08102017;11:10:00;1.345.313.875;1.003.233.625
08102017;11:15:00;1398456.5;1.044.905.875
08102017;11:20:00;1.385.423.625;10.379.751.875
08102017;11:25:00;1.378.039.875;10.292.444.375
08102017;11:30:00;1379374.75;1027692
08102017;11:35:00;1.468.046.875;1.086.759.875
08102017;11:40:00;1692708.5;1.222.022.125
08102017;11:45:00;1688692;1214395.5
08102017;11:50:00;1693645.25;1241802
08102017;11:55:00;1542067;1127627
08102017;12:00:00;1.531.183.125;1.119.708.625
