registroDate1;registrotime1;registroFloat1;registroFloat2
20171101;08:30:00;64.483.533.333.333;48.707.308.333.333
20171101;08:35:00;64.485.804.166.667;48.778.791.666.667
20171101;08:40:00;64.620.966.666.667;494091.5
20171101;08:45:00;71.276.333.333.333;55.785.808.333.333
20171101;08:50:00;74.075.891.666.667;57.314.570.833.333
20171101;08:55:00;80.813.416.666.667;62.220.204.166.667
20171101;09:00:00;83.147.216.666.667;64.894.758.333.333
20171101;09:05:00;82.488.741.666.667;64.011.729.166.667
20171101;09:10:00;83.053.266.666.667;64.958.170.833.333
20171101;09:15:00;80.035.291.666.667;61.425.133.333.333
20171101;09:20:00;79.287.383.333.333;60.438.570.833.333
20171101;09:25:00;78.470.366.666.667;59.598.916.666.667
20171101;09:30:00;757545;56.821.854.166.667
20171101;09:35:00;73.402.208.333.333;54.864.054.166.667
20171101;09:40:00;75.835.641.666.667;57.161.979.166.667
20171101;09:45:00;74.802.308.333.333;55.886.566.666.667
20171101;09:50:00;68.894.879.166.667;51.927.633.333.333
20171101;09:55:00;677.726.875;511.964.375
20171101;10:00:00;68.195.454.166.667;51.620.641.666.667
20171101;10:05:00;688.738.375;523740.25
20171101;10:10:00;68.780.983.333.333;52.452.533.333.333
20171101;10:15:00;68.022.645.833.333;51.610.391.666.667
20171101;10:20:00;66.731.045.833.333;50.137.604.166.667
20171101;10:25:00;68.642.145.833.333;51.723.766.666.667
20171101;10:30:00;68.903.991.666.667;51.834.391.666.667
20171101;10:35:00;688.970.125;51.922.533.333.333
20171101;10:40:00;667563.25;50.154.129.166.667
20171101;10:45:00;660589.75;49.245.083.333.333
20171101;10:50:00;660830.75;493304.25
20171101;10:55:00;65.738.295.833.333;49.134.516.666.667
20171101;11:00:00;65.303.004.166.667;48.894.120.833.333
20171101;11:05:00;645.472.625;48.246.183.333.333
20171101;11:10:00;65.633.254.166.667;490.047.125
20171101;11:15:00;65.121.366.666.667;483920.25
20171101;11:20:00;575671.25;43.417.016.666.667
20171101;11:25:00;55.921.866.666.667;42.479.941.666.667
20171101;11:30:00;52.078.154.166.667;39.764.929.166.667
20171101;11:35:00;52.198.608.333.333;40.107.041.666.667
20171101;11:40:00;52.280.804.166.667;40.241.666.666.667
20171101;11:45:00;52.392.891.666.667;40.971.258.333.333
20171101;11:50:00;52.618.970.833.333;406264.75
20171101;11:55:00;525167.75;405.545.875
20171101;12:00:00;591.600.375;44.754.120.833.333
20171101;12:05:00;61.937.616.666.667;46.477.066.666.667
20171101;12:10:00;63.013.270.833.333;473.403.625
20171101;12:15:00;63.477.220.833.333;473.798.125
20171101;12:20:00;62.435.454.166.667;46.519.270.833.333
20171101;12:25:00;69.730.479.166.667;529.334.875
20171101;12:30:00;89.982.866.666.667;742067.25
20171101;12:35:00;88.264.016.666.667;733548.75
20171101;12:40:00;86.817.608.333.333;71.958.333.333.333
20171101;12:45:00;899965.25;75.242.783.333.333
20171101;12:50:00;873917;72.721.091.666.667
20171101;12:55:00;901657.25;74.219.383.333.333
20171101;13:00:00;87.058.408.333.333;72.323.766.666.667
20171101;13:05:00;89.037.883.333.333;729728
20171101;13:10:00;92.321.208.333.333;76.117.241.666.667
20171101;13:15:00;90.089.391.666.667;735731
20171101;13:20:00;80.959.616.666.667;63.275.495.833.333
20171101;13:25:00;78.376.583.333.333;607.032.125
20171101;13:30:00;792645.75;613624.25
20171101;13:35:00;809204.75;62.843.695.833.333
20171101;13:40:00;75.816.283.333.333;59.636.941.666.667
20171101;13:45:00;729586;58.805.608.333.333
20171101;13:50:00;66.422.766.666.667;53.785.158.333.333
20171101;13:55:00;64.729.608.333.333;52.388.383.333.333
20171101;14:00:00;648460.75;525.018.375
20171101;14:05:00;72.360.316.666.667;575.940.125
20171101;14:10:00;74.377.216.666.667;59.066.495.833.333
20171101;14:15:00;73.352.558.333.333;57.471.920.833.333
20171101;14:20:00;73.975.583.333.333;58.280.845.833.333
20171101;14:25:00;73.224.433.333.333;57.727.508.333.333
20171101;14:30:00;74.331.883.333.333;58.824.020.833.333
20171101;14:35:00;73.855.216.666.667;58.399.991.666.667
20171101;14:40:00;73.011.933.333.333;575697.75
20171101;14:45:00;72.777.358.333.333;56.952.416.666.667
20171101;14:50:00;719142.5;56.157.779.166.667
20171101;14:55:00;713942.5;55.802.666.666.667
20171101;15:00:00;72.978.708.333.333;57.104.570.833.333
20171101;15:05:00;72.414.416.666.667;565.901.625
20171101;15:10:00;724360.75;56.700.183.333.333
20171101;15:15:00;72.090.308.333.333;55.609.016.666.667
20171101;15:20:00;717247.25;54.609.066.666.667
20171101;15:25:00;717934.75;543682.5
20171101;15:30:00;71.610.233.333.333;54.295.558.333.333
20171101;15:35:00;71.603.958.333.333;541.886.375
20171101;15:40:00;70.860.691.666.667;533.352.875
20171101;15:45:00;68.714.079.166.667;51.489.183.333.333
20171101;15:50:00;697088.75;52.357.920.833.333
20171101;15:55:00;720265.25;530105.25
20171101;16:00:00;74.715.633.333.333;549.155.875
20171101;16:05:00;75.552.066.666.667;558984.5
20171101;16:10:00;77.179.308.333.333;56.981.754.166.667
20171101;16:15:00;82.494.266.666.667;60.209.308.333.333
20171101;16:20:00;82.063.658.333.333;59.738.158.333.333
20171101;16:25:00;830594.75;607282.25
20171101;16:30:00;83.667.408.333.333;61.400.754.166.667
20171101;16:35:00;79.298.566.666.667;57.997.754.166.667
20171101;16:40:00;81.164.533.333.333;59.832.058.333.333
20171101;16:45:00;80.637.241.666.667;59.053.370.833.333
20171101;16:50:00;80.313.308.333.333;58.416.695.833.333
20171101;16:55:00;800272.25;58.489.983.333.333
20171101;17:00:00;814874.75;596720.25
20171101;17:05:00;81.123.216.666.667;59.234.554.166.667
20171101;17:10:00;819322.25;60.442.920.833.333
20171101;17:15:00;790059.25;58.245.666.666.667
20171101;17:20:00;75.571.858.333.333;55.821.654.166.667
20171101;17:25:00;758304.75;56.199.108.333.333
20171101;17:30:00;72.985.483.333.333;53.486.170.833.333
20171101;17:35:00;737995.25;542299.75
20171101;17:40:00;72.412.308.333.333;53.494.158.333.333
20171101;17:45:00;779211.5;57.207.879.166.667
20171101;17:50:00;784543.5;57.164.795.833.333
20171101;17:55:00;753007;546998
20171101;18:00:00;77.938.983.333.333;567.866.625
20171101;18:05:00;747574.5;54.564.095.833.333
20171101;18:10:00;74.713.708.333.333;54.412.095.833.333
20171101;18:15:00;75.856.641.666.667;55.411.254.166.667
20171101;18:20:00;73.660.241.666.667;53.779.320.833.333
20171101;18:25:00;79.908.908.333.333;690.916.125
20171101;18:30:00;924970.75;80.958.466.666.667
20171101;18:35:00;942302.25;75.932.158.333.333
20171101;18:40:00;95.310.516.666.667;77.440.891.666.667
20171101;18:45:00;93.154.583.333.333;74.239.316.666.667
20171101;18:50:00;940302.25;752744.5
20171101;18:55:00;886830.5;695445.5
20171101;19:00:00;85.079.633.333.333;65.621.595.833.333
20171101;19:05:00;92.333.858.333.333;73.982.166.666.667
20171101;19:10:00;916420.25;73.033.133.333.333
20171101;19:15:00;909878;77.750.341.666.667
20171101;19:20:00;913468;774578.25
20171101;19:25:00;98.284.916.666.667;812923.5
20171101;19:30:00;966192.75;79.133.608.333.333
20171101;19:35:00;89.567.591.666.667;71.203.733.333.333
20171101;19:40:00;82.482.783.333.333;63.629.220.833.333
20171101;19:45:00;83.381.916.666.667;71.832.558.333.333
20171101;19:50:00;98.538.908.333.333;809524
20171101;19:55:00;98.660.558.333.333;80.481.041.666.667
20171101;20:00:00;96.837.066.666.667;789638.75
20171101;20:05:00;92.334.183.333.333;742675.25
20171101;20:10:00;93.029.466.666.667;750158.75
20171101;20:15:00;93.857.683.333.333;75.926.433.333.333
20171101;20:20:00;97.095.008.333.333;79.264.158.333.333
20171101;20:25:00;95.694.033.333.333;777331
20171101;20:30:00;89.488.058.333.333;71.202.908.333.333
20171101;20:35:00;89.154.508.333.333;70.743.258.333.333
20171101;20:40:00;904824;719271.5
20171101;20:45:00;89.000.616.666.667;703746.75
20171101;20:50:00;896065;710212.5
20171101;20:55:00;80.378.258.333.333;630.784.625
20171101;21:00:00;78.574.491.666.667;61.789.379.166.667
20171101;21:05:00;77.387.416.666.667;60.474.479.166.667
20171101;21:10:00;77.519.166.666.667;60.697.358.333.333
20171101;21:15:00;775141;60.482.104.166.667
20171101;21:20:00;804195.75;63.596.116.666.667
20171101;21:25:00;79.046.033.333.333;62.049.229.166.667
20171101;21:30:00;80.861.708.333.333;64.169.504.166.667
20171101;21:35:00;825478;65.834.129.166.667
20171101;21:40:00;75.867.733.333.333;70.455.766.666.667
20171101;21:45:00;83.609.041.666.667;72.115.641.666.667
20171101;21:50:00;85.510.741.666.667;68.981.854.166.667
20171101;21:55:00;78.536.608.333.333;62.921.466.666.667
20171101;22:00:00;786761;64.055.779.166.667
20171101;22:05:00;844668;68.134.695.833.333
20171101;22:10:00;874625;71.446.183.333.333
20171101;22:15:00;836259.75;67.564.091.666.667
20171101;22:20:00;85.835.716.666.667;69.534.791.666.667
20171101;22:25:00;84.402.641.666.667;67.905.370.833.333
20171101;22:30:00;85.817.616.666.667;69.331.083.333.333
20171101;22:35:00;83.674.258.333.333;67.300.745.833.333
20171101;22:40:00;73.896.183.333.333;599.506.125
20171101;22:45:00;751505.25;604.947.125
20171101;22:50:00;798264.75;62.338.304.166.667
20171101;22:55:00;818665.5;63.482.495.833.333
20171101;23:00:00;848929.75;64.858.133.333.333
20171101;23:05:00;829228.75;62.793.791.666.667
20171101;23:10:00;863081.25;665266.75
20171101;23:15:00;86.922.666.666.667;668.130.875
20171101;23:20:00;86.244.908.333.333;66.188.833.333.333
20171101;23:25:00;85.507.408.333.333;65.362.729.166.667
20171101;23:30:00;856156;658.720.125
20171101;23:35:00;809228.75;63.186.708.333.333
20171101;23:40:00;79.260.166.666.667;61.893.770.833.333
20171101;23:45:00;83.223.208.333.333;654.878.125
20171101;23:50:00;806967.5;62.770.683.333.333
20171101;23:55:00;819624.75;64.295.395.833.333
20171102;00:00:00;813119.75;63.602.595.833.333
20171102;00:05:00;80.812.266.666.667;629900
20171102;00:10:00;82.672.641.666.667;65.247.733.333.333
20171102;00:15:00;88.530.716.666.667;71.504.266.666.667
20171102;00:20:00;843036.25;668944.75
20171102;00:25:00;950432.25;756022.5
20171102;00:30:00;921232;73.827.466.666.667
